,Unnamed: 0,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
21,21,812.0,1.0,0.0,1.0,0.0,12,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.79999924,202.25,0.0
22,22,520.0,1.0,0.0,0.0,0.0,1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.14999962,20.14999962,1.0
23,23,1833.0,0.0,0.0,1.0,0.0,58,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,59.90000153,3505.100098,0.0
24,24,3203.0,1.0,0.0,1.0,1.0,49,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,59.59999847,2970.300049,0.0
25,25,3489.0,0.0,0.0,0.0,0.0,30,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55.29999924,1530.599976,0.0
26,26,3281.0,1.0,0.0,1.0,1.0,47,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,99.34999847,4749.149902,1.0
27,27,4379.0,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.20000076,30.20000076,1.0
28,28,2668.0,1.0,0.0,1.0,0.0,72,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,90.25,6369.450195,0.0
29,29,4428.0,0.0,0.0,0.0,1.0,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,64.69999695,1093.099976,1.0
30,30,1933.0,0.0,1.0,1.0,0.0,71,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,96.34999847,6766.950195,0.0
31,31,2491.0,1.0,1.0,1.0,0.0,2,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,95.5,181.6499939,0.0
32,32,3467.0,0.0,0.0,1.0,1.0,27,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,66.15000153,1874.449951,0.0
33,33,3721.0,1.0,0.0,0.0,0.0,1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.20000076,20.20000076,0.0
34,34,1721.0,1.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.25,45.25,0.0
35,35,3157.0,0.0,0.0,1.0,1.0,72,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,99.90000153,7251.700195,0.0
36,36,3063.0,1.0,0.0,0.0,0.0,5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,69.69999695,316.8999939,1.0
37,37,3336.0,0.0,0.0,0.0,0.0,46,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,74.80000305,3548.300049,0.0
38,38,2734.0,1.0,0.0,0.0,0.0,34,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,106.3499985,3549.25,1.0
39,39,4162.0,0.0,0.0,0.0,0.0,11,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,97.84999847,1105.400024,1.0
40,40,4473.0,1.0,0.0,1.0,1.0,10,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,49.54999924,475.7000122,0.0
41,41,4767.0,0.0,0.0,1.0,1.0,70,1.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,69.19999695,4872.350098,0.0
42,42,4975.0,0.0,0.0,1.0,1.0,17,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,20.75,418.25,0.0
43,43,2337.0,0.0,0.0,0.0,0.0,63,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,79.84999847,4861.450195,0.0
44,44,2048.0,0.0,0.0,1.0,0.0,13,1.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,76.19999695,981.4500122,0.0
45,45,1866.0,0.0,0.0,0.0,0.0,49,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,84.5,3906.699951,0.0
46,46,3008.0,1.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,49.25,97.0,0.0
47,47,3948.0,0.0,0.0,0.0,0.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,80.65000153,144.1499939,1.0
48,48,3890.0,1.0,0.0,0.0,0.0,52,1.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,79.75,4217.799805,0.0
49,49,1461.0,0.0,0.0,1.0,1.0,69,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,64.15000153,4254.100098,0.0
50,50,4071.0,0.0,1.0,0.0,0.0,43,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,90.25,3838.75,0.0
51,51,4739.0,0.0,0.0,0.0,0.0,15,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,99.09999847,1426.400024,1.0
52,52,3338.0,0.0,1.0,1.0,0.0,25,1.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,69.5,1752.650024,0.0
53,53,3803.0,0.0,1.0,1.0,0.0,8,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.65000153,633.2999878,1.0
54,54,2334.0,0.0,1.0,1.0,1.0,60,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,74.84999847,4456.350098,0.0
55,55,803.0,1.0,1.0,0.0,0.0,18,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,95.44999695,1752.550049,1.0
56,56,4427.0,0.0,0.0,1.0,1.0,63,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,99.65000153,6311.200195,0.0
57,57,2560.0,1.0,1.0,1.0,1.0,66,1.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,108.4499969,7076.350098,0.0
58,58,1986.0,0.0,0.0,1.0,1.0,34,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,24.95000076,894.2999878,0.0
59,59,3011.0,0.0,0.0,0.0,0.0,72,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,107.5,7853.700195,0.0
60,60,220.0,0.0,0.0,1.0,0.0,47,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,100.5,4707.100098,0.0
61,61,595.0,1.0,0.0,0.0,0.0,60,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,89.90000153,5450.700195,0.0
62,62,260.0,1.0,0.0,1.0,0.0,72,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,42.09999847,2962.0,0.0
63,63,271.0,0.0,0.0,1.0,1.0,18,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,54.40000153,957.0999756,0.0
64,64,2894.0,0.0,0.0,0.0,0.0,9,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,94.40000153,857.25,1.0
65,65,2582.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,75.30000305,244.1000061,0.0
66,66,4361.0,1.0,0.0,1.0,0.0,47,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,78.90000153,3650.350098,0.0
67,67,1719.0,0.0,0.0,0.0,0.0,31,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,79.19999695,2497.199951,0.0
68,68,1586.0,0.0,0.0,1.0,1.0,50,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,20.14999962,930.9000244,0.0
69,69,3770.0,1.0,0.0,0.0,0.0,10,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,79.84999847,887.3499756,0.0
70,70,1110.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,49.04999924,49.04999924,0.0
71,71,358.0,0.0,0.0,1.0,1.0,52,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,20.39999962,1090.650024,0.0
72,72,898.0,1.0,1.0,1.0,1.0,64,1.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,111.5999985,7099.0,0.0
73,73,4080.0,1.0,0.0,1.0,1.0,62,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,24.25,1424.599976,0.0
74,74,2856.0,0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,64.5,177.3999939,0.0
75,75,1308.0,0.0,1.0,0.0,0.0,56,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,110.5,6139.5,0.0
76,76,3254.0,0.0,0.0,0.0,0.0,46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,55.65000153,2688.850098,0.0
77,77,2837.0,0.0,0.0,1.0,1.0,8,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,54.65000153,482.25,0.0
78,78,84.0,1.0,1.0,0.0,0.0,30,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,74.75,2111.300049,0.0
79,79,1952.0,0.0,0.0,1.0,1.0,45,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,25.89999962,1216.599976,0.0
80,80,2992.0,0.0,0.0,0.0,1.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,79.34999847,79.34999847,1.0
81,81,4136.0,0.0,0.0,1.0,1.0,11,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,50.54999924,565.3499756,0.0
82,82,4631.0,0.0,0.0,1.0,0.0,7,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,75.15000153,496.8999939,1.0
83,83,5002.0,0.0,0.0,0.0,0.0,42,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,103.8000031,4327.5,0.0
84,84,158.0,0.0,0.0,1.0,0.0,49,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,20.14999962,973.3499756,0.0
85,85,2219.0,1.0,0.0,0.0,0.0,9,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,99.30000305,918.75,0.0
86,86,2417.0,0.0,0.0,1.0,0.0,35,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,62.15000153,2215.449951,0.0
87,87,889.0,0.0,0.0,1.0,1.0,48,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,20.64999962,1057.0,0.0
88,88,1368.0,0.0,0.0,1.0,1.0,46,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,19.95000076,927.0999756,0.0
89,89,1501.0,1.0,0.0,1.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,33.75,1009.25,0.0
90,90,2397.0,1.0,0.0,1.0,1.0,30,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,82.05000305,2570.199951,0.0
91,91,1187.0,1.0,1.0,0.0,0.0,1,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,74.69999695,74.69999695,0.0
92,92,3680.0,1.0,0.0,1.0,1.0,66,1.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,84.0,5714.25,0.0
93,93,3073.0,0.0,0.0,0.0,0.0,65,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,111.0500031,7107.0,0.0
94,94,4966.0,1.0,0.0,0.0,0.0,72,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,100.9000015,7459.049805,0.0
95,95,4366.0,0.0,0.0,0.0,0.0,12,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,78.94999695,927.3499756,1.0
96,96,4940.0,1.0,0.0,1.0,1.0,71,1.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,66.84999847,4748.700195,0.0
97,97,135.0,1.0,0.0,0.0,0.0,5,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.04999924,113.8499985,1.0
98,98,1611.0,1.0,0.0,0.0,0.0,52,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0,1107.199951,0.0
99,99,2295.0,0.0,1.0,1.0,0.0,25,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,98.5,2514.5,1.0
100,100,3239.0,1.0,0.0,0.0,0.0,1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.20000076,20.20000076,0.0
101,101,1853.0,0.0,0.0,1.0,1.0,1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.45000076,19.45000076,0.0
102,102,3622.0,1.0,0.0,0.0,0.0,38,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,95.0,3605.600098,0.0
103,103,2739.0,0.0,1.0,1.0,0.0,66,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,45.54999924,3027.25,0.0
104,104,1599.0,1.0,0.0,1.0,0.0,68,1.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,110.0,7611.850098,1.0
105,105,3131.0,1.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.29999924,100.1999969,0.0
106,106,3427.0,0.0,0.0,1.0,1.0,72,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,104.1500015,7303.049805,0.0
107,107,4905.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,30.14999962,927.6500244,0.0
108,108,4348.0,1.0,0.0,0.0,0.0,43,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,94.34999847,3921.300049,0.0
109,109,1405.0,1.0,0.0,1.0,1.0,72,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,19.39999962,1363.25,0.0
110,110,240.0,1.0,0.0,1.0,0.0,55,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,96.75,5238.899902,1.0
111,111,2271.0,0.0,0.0,0.0,0.0,52,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,57.95000076,3042.25,0.0
112,112,2902.0,0.0,0.0,0.0,0.0,43,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,91.65000153,3954.100098,0.0
113,113,2446.0,0.0,1.0,1.0,0.0,37,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,76.5,2868.149902,1.0
114,114,2670.0,0.0,0.0,1.0,1.0,64,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,54.59999847,3423.5,0.0
115,115,1532.0,1.0,0.0,1.0,1.0,3,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,89.84999847,248.3999939,0.0
116,116,4811.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,31.04999924,1126.349976,0.0
117,117,2688.0,0.0,0.0,1.0,1.0,10,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,100.25,1064.650024,1.0
118,118,4275.0,0.0,0.0,0.0,0.0,41,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,20.64999962,835.1500244,0.0
119,119,4751.0,1.0,0.0,1.0,1.0,27,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,85.19999695,2151.600098,0.0
120,120,534.0,0.0,0.0,1.0,1.0,56,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,99.80000305,5515.450195,0.0
121,121,1450.0,0.0,0.0,0.0,0.0,6,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.70000076,112.75,0.0
122,122,209.0,1.0,0.0,0.0,0.0,3,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,74.40000153,229.5500031,1.0
123,123,3298.0,0.0,0.0,1.0,1.0,7,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.70000076,350.3500061,0.0
124,124,3674.0,0.0,0.0,1.0,1.0,4,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.85000038,62.90000153,0.0
125,125,2305.0,1.0,0.0,0.0,0.0,33,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,88.94999695,3027.649902,0.0
126,126,2205.0,0.0,1.0,0.0,0.0,27,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,78.05000305,2135.5,1.0
127,127,3435.0,1.0,0.0,1.0,0.0,72,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,23.54999924,1723.949951,0.0
128,128,1970.0,1.0,0.0,0.0,0.0,1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.75,19.75,0.0
129,129,1291.0,1.0,1.0,0.0,0.0,71,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,56.45000076,3985.350098,0.0
130,130,1421.0,0.0,0.0,0.0,0.0,13,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,85.94999695,1215.650024,0.0
131,131,3143.0,0.0,0.0,1.0,1.0,25,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,58.59999847,1502.650024,1.0
132,132,4341.0,1.0,0.0,0.0,0.0,67,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,50.54999924,3260.100098,0.0
133,133,1543.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,35.45000076,35.45000076,1.0
134,134,1164.0,1.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,44.34999847,81.25,1.0
135,135,3968.0,0.0,0.0,0.0,0.0,43,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,25.70000076,1188.199951,0.0
136,136,3987.0,0.0,0.0,0.0,0.0,23,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,75.0,1778.5,0.0
137,137,1903.0,0.0,0.0,1.0,1.0,64,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,20.20000076,1277.75,0.0
138,138,3146.0,1.0,0.0,0.0,1.0,57,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,19.60000038,1170.550049,0.0
139,139,200.0,0.0,1.0,1.0,0.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,70.44999695,70.44999695,1.0
140,140,1573.0,0.0,1.0,1.0,1.0,72,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,88.05000305,6425.649902,0.0
141,141,2049.0,0.0,0.0,0.0,0.0,8,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,71.15000153,563.6500244,1.0
142,142,539.0,0.0,0.0,1.0,0.0,61,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,101.0500031,5971.25,0.0
143,143,1289.0,1.0,0.0,0.0,0.0,64,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,84.30000305,5289.049805,0.0
144,144,555.0,1.0,1.0,1.0,0.0,71,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,23.95000076,1756.199951,0.0
145,145,2904.0,0.0,0.0,1.0,1.0,65,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,99.05000305,6416.700195,0.0
146,146,3470.0,1.0,0.0,0.0,0.0,3,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,19.60000038,61.34999847,0.0
147,147,1031.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,45.65000153,45.65000153,1.0
148,148,3270.0,1.0,0.0,0.0,1.0,30,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,64.5,1929.949951,0.0
149,149,1747.0,1.0,0.0,1.0,1.0,15,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,3.0,69.5,1071.400024,0.0
150,150,1909.0,0.0,0.0,1.0,1.0,8,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,68.55000305,564.3499756,0.0
151,151,1950.0,1.0,0.0,0.0,0.0,7,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,95.0,655.5,1.0
