Column1,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
32,6827-IEAUQ,Female,FALSE,TRUE,TRUE,27,TRUE,FALSE,DSL,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,One year,FALSE,Mailed check,66.15000153,1874.449951,FALSE
33,7310-EGVHZ,Male,FALSE,FALSE,FALSE,1,TRUE,FALSE,No,,,,,,,Month-to-month,FALSE,Bank transfer (automatic),20.20000076,20.20000076,FALSE
34,3413-BMNZE,Male,TRUE,FALSE,FALSE,1,TRUE,FALSE,DSL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Month-to-month,FALSE,Bank transfer (automatic),45.25,45.25,FALSE
35,6234-RAAPL,Female,FALSE,TRUE,TRUE,72,TRUE,TRUE,Fiber optic,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Two year,FALSE,Bank transfer (automatic),99.90000153,7251.700195,FALSE
36,6047-YHPVI,Male,FALSE,FALSE,FALSE,5,TRUE,FALSE,Fiber optic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Month-to-month,TRUE,Electronic check,69.69999695,316.8999939,TRUE
37,6572-ADKRS,Female,FALSE,FALSE,FALSE,46,TRUE,FALSE,Fiber optic,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Month-to-month,TRUE,Credit card (automatic),74.80000305,3548.300049,FALSE
38,5380-WJKOV,Male,FALSE,FALSE,FALSE,34,TRUE,TRUE,Fiber optic,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Month-to-month,TRUE,Electronic check,106.3499985,3549.25,TRUE
39,8168-UQWWF,Female,FALSE,FALSE,FALSE,11,TRUE,TRUE,Fiber optic,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Month-to-month,TRUE,Bank transfer (automatic),97.84999847,1105.400024,TRUE
40,8865-TNMNX,Male,FALSE,TRUE,TRUE,10,TRUE,FALSE,DSL,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,One year,FALSE,Mailed check,49.54999924,475.7000122,FALSE
41,9489-DEDVP,Female,FALSE,TRUE,TRUE,70,TRUE,TRUE,DSL,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Two year,TRUE,Credit card (automatic),69.19999695,4872.350098,FALSE
42,9867-JCZSP,Female,FALSE,TRUE,TRUE,17,TRUE,FALSE,No,,,,,,,One year,FALSE,Mailed check,20.75,418.25,FALSE
43,4671-VJLCL,Female,FALSE,FALSE,FALSE,63,TRUE,TRUE,DSL,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Two year,TRUE,Credit card (automatic),79.84999847,4861.450195,FALSE
44,4080-IIARD,Female,FALSE,TRUE,FALSE,13,TRUE,TRUE,DSL,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Month-to-month,TRUE,Electronic check,76.19999695,981.4500122,FALSE
45,3714-NTNFO,Female,FALSE,FALSE,FALSE,49,TRUE,TRUE,Fiber optic,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Month-to-month,TRUE,Electronic check,84.5,3906.699951,FALSE
46,5948-UJZLF,Male,FALSE,FALSE,FALSE,2,TRUE,FALSE,DSL,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Month-to-month,FALSE,Mailed check,49.25,97,FALSE
47,7760-OYPDY,Female,FALSE,FALSE,FALSE,2,TRUE,FALSE,Fiber optic,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Month-to-month,TRUE,Electronic check,80.65000153,144.1499939,TRUE
48,7639-LIAYI,Male,FALSE,FALSE,FALSE,52,TRUE,TRUE,DSL,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Two year,TRUE,Credit card (automatic),79.75,4217.799805,FALSE
49,2954-PIBKO,Female,FALSE,TRUE,TRUE,69,TRUE,TRUE,DSL,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Two year,TRUE,Credit card (automatic),64.15000153,4254.100098,FALSE
50,8012-SOUDQ,Female,TRUE,FALSE,FALSE,43,TRUE,TRUE,Fiber optic,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Month-to-month,TRUE,Electronic check,90.25,3838.75,FALSE
51,9420-LOJKX,Female,FALSE,FALSE,FALSE,15,TRUE,FALSE,Fiber optic,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Month-to-month,TRUE,Credit card (automatic),99.09999847,1426.400024,TRUE
52,6575-SUVOI,Female,TRUE,TRUE,FALSE,25,TRUE,TRUE,DSL,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Month-to-month,TRUE,Credit card (automatic),69.5,1752.650024,FALSE
53,7495-OOKFY,Female,TRUE,TRUE,FALSE,8,TRUE,TRUE,Fiber optic,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Month-to-month,TRUE,Credit card (automatic),80.65000153,633.2999878,TRUE
54,4667-QONEA,Female,TRUE,TRUE,TRUE,60,TRUE,FALSE,DSL,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,One year,TRUE,Credit card (automatic),74.84999847,4456.350098,FALSE
55,1658-BYGOY,Male,TRUE,FALSE,FALSE,18,TRUE,TRUE,Fiber optic,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Month-to-month,TRUE,Electronic check,95.44999695,1752.550049,TRUE
56,8769-KKTPH,Female,FALSE,TRUE,TRUE,63,TRUE,TRUE,Fiber optic,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,One year,TRUE,Credit card (automatic),99.65000153,6311.200195,FALSE
57,5067-XJQFU,Male,TRUE,TRUE,TRUE,66,TRUE,TRUE,Fiber optic,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,One year,TRUE,Electronic check,108.4499969,7076.350098,FALSE
58,3957-SQXML,Female,FALSE,TRUE,TRUE,34,TRUE,TRUE,No,,,,,,,Two year,FALSE,Credit card (automatic),24.95000076,894.2999878,FALSE
59,5954-BDFSG,Female,FALSE,FALSE,FALSE,72,TRUE,TRUE,Fiber optic,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Two year,TRUE,Credit card (automatic),107.5,7853.700195,FALSE
60,0434-CSFON,Female,FALSE,TRUE,FALSE,47,TRUE,TRUE,Fiber optic,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Month-to-month,TRUE,Electronic check,100.5,4707.100098,FALSE
61,1215-FIGMP,Male,FALSE,FALSE,FALSE,60,TRUE,TRUE,Fiber optic,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Month-to-month,TRUE,Bank transfer (automatic),89.90000153,5450.700195,FALSE
62,0526-SXDJP,Male,FALSE,TRUE,FALSE,72,FALSE,,DSL,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Two year,FALSE,Bank transfer (automatic),42.09999847,2962,FALSE
63,0557-ASKVU,Female,FALSE,TRUE,TRUE,18,TRUE,FALSE,DSL,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,One year,TRUE,Credit card (automatic),54.40000153,957.0999756,FALSE
64,5698-BQJOH,Female,FALSE,FALSE,FALSE,9,TRUE,TRUE,Fiber optic,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Month-to-month,FALSE,Electronic check,94.40000153,857.25,TRUE
65,5122-CYFXA,Female,FALSE,FALSE,FALSE,3,TRUE,FALSE,DSL,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Month-to-month,TRUE,Electronic check,75.30000305,244.1000061,FALSE
66,8627-ZYGSZ,Male,FALSE,TRUE,FALSE,47,TRUE,TRUE,Fiber optic,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,One year,TRUE,Electronic check,78.90000153,3650.350098,FALSE
67,3410-YOQBQ,Female,FALSE,FALSE,FALSE,31,TRUE,FALSE,DSL,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Two year,FALSE,Mailed check,79.19999695,2497.199951,FALSE
68,3170-NMYVV,Female,FALSE,TRUE,TRUE,50,TRUE,FALSE,No,,,,,,,Two year,FALSE,Bank transfer (automatic),20.14999962,930.9000244,FALSE
69,7410-OIEDU,Male,FALSE,FALSE,FALSE,10,TRUE,FALSE,Fiber optic,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Month-to-month,TRUE,Mailed check,79.84999847,887.3499756,FALSE
70,2273-QCKXA,Male,FALSE,FALSE,FALSE,1,TRUE,FALSE,DSL,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Month-to-month,FALSE,Mailed check,49.04999924,49.04999924,FALSE
71,0731-EBJQB,Female,FALSE,TRUE,TRUE,52,TRUE,FALSE,No,,,,,,,One year,TRUE,Electronic check,20.39999962,1090.650024,FALSE
72,1891-QRQSA,Male,TRUE,TRUE,TRUE,64,TRUE,TRUE,Fiber optic,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Two year,TRUE,Bank transfer (automatic),111.5999985,7099,FALSE
73,8028-PNXHQ,Male,FALSE,TRUE,TRUE,62,TRUE,TRUE,No,,,,,,,Two year,TRUE,Bank transfer (automatic),24.25,1424.599976,FALSE
74,5630-AHZIL,Female,FALSE,FALSE,TRUE,3,TRUE,FALSE,DSL,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Month-to-month,TRUE,Bank transfer (automatic),64.5,177.3999939,FALSE
75,2673-CXQEU,Female,TRUE,FALSE,FALSE,56,TRUE,TRUE,Fiber optic,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,One year,FALSE,Electronic check,110.5,6139.5,FALSE
76,6416-JNVRK,Female,FALSE,FALSE,FALSE,46,TRUE,FALSE,DSL,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,One year,FALSE,Credit card (automatic),55.65000153,2688.850098,FALSE
77,5590-ZSKRV,Female,FALSE,TRUE,TRUE,8,TRUE,FALSE,DSL,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Month-to-month,FALSE,Mailed check,54.65000153,482.25,FALSE
78,0191-ZHSKZ,Male,TRUE,FALSE,FALSE,30,TRUE,FALSE,DSL,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Month-to-month,TRUE,Electronic check,74.75,2111.300049,FALSE
79,3887-PBQAO,Female,FALSE,TRUE,TRUE,45,TRUE,TRUE,No,,,,,,,One year,TRUE,Credit card (automatic),25.89999962,1216.599976,FALSE
80,5919-TMRGD,Female,FALSE,FALSE,TRUE,1,TRUE,FALSE,Fiber optic,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Month-to-month,TRUE,Electronic check,79.34999847,79.34999847,TRUE
81,8108-UXRQN,Female,FALSE,TRUE,TRUE,11,FALSE,,DSL,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Month-to-month,FALSE,Electronic check,50.54999924,565.3499756,FALSE
82,9191-MYQKX,Female,FALSE,TRUE,FALSE,7,TRUE,FALSE,Fiber optic,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Month-to-month,TRUE,Bank transfer (automatic),75.15000153,496.8999939,TRUE
83,9919-YLNNG,Female,FALSE,FALSE,FALSE,42,TRUE,FALSE,Fiber optic,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Month-to-month,TRUE,Bank transfer (automatic),103.8000031,4327.5,FALSE
84,0318-ZOPWS,Female,FALSE,TRUE,FALSE,49,TRUE,FALSE,No,,,,,,,Two year,TRUE,Bank transfer (automatic),20.14999962,973.3499756,FALSE
85,4445-ZJNMU,Male,FALSE,FALSE,FALSE,9,TRUE,TRUE,Fiber optic,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Month-to-month,TRUE,Credit card (automatic),99.30000305,918.75,FALSE
86,4808-YNLEU,Female,FALSE,TRUE,FALSE,35,TRUE,FALSE,DSL,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,One year,TRUE,Bank transfer (automatic),62.15000153,2215.449951,FALSE
87,1862-QRWPE,Female,FALSE,TRUE,TRUE,48,TRUE,FALSE,No,,,,,,,Two year,FALSE,Bank transfer (automatic),20.64999962,1057,FALSE
88,2796-NNUFI,Female,FALSE,TRUE,TRUE,46,TRUE,FALSE,No,,,,,,,Two year,TRUE,Mailed check,19.95000076,927.0999756,FALSE
89,3016-KSVCP,Male,FALSE,TRUE,FALSE,29,FALSE,,DSL,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Month-to-month,FALSE,Mailed check,33.75,1009.25,FALSE
90,4767-HZZHQ,Male,FALSE,TRUE,TRUE,30,TRUE,FALSE,Fiber optic,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Month-to-month,FALSE,Bank transfer (automatic),82.05000305,2570.199951,FALSE
91,2424-WVHPL,Male,TRUE,FALSE,FALSE,1,TRUE,FALSE,Fiber optic,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Month-to-month,FALSE,Electronic check,74.69999695,74.69999695,FALSE
92,7233-PAHHL,Male,FALSE,TRUE,TRUE,66,TRUE,TRUE,DSL,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Two year,TRUE,Mailed check,84,5714.25,FALSE
93,6067-NGCEU,Female,FALSE,FALSE,FALSE,65,TRUE,TRUE,Fiber optic,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Month-to-month,TRUE,Credit card (automatic),111.0500031,7107,FALSE
94,9848-JQJTX,Male,FALSE,FALSE,FALSE,72,TRUE,TRUE,Fiber optic,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Two year,TRUE,Bank transfer (automatic),100.9000015,7459.049805,FALSE
95,8637-XJIVR,Female,FALSE,FALSE,FALSE,12,TRUE,TRUE,Fiber optic,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Month-to-month,TRUE,Electronic check,78.94999695,927.3499756,TRUE
96,9803-FTJCG,Male,FALSE,TRUE,TRUE,71,TRUE,TRUE,DSL,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,One year,TRUE,Credit card (automatic),66.84999847,4748.700195,FALSE
97,0278-YXOOG,Male,FALSE,FALSE,FALSE,5,TRUE,FALSE,No,,,,,,,Month-to-month,FALSE,Mailed check,21.04999924,113.8499985,TRUE
98,3212-KXOCR,Male,FALSE,FALSE,FALSE,52,TRUE,FALSE,No,,,,,,,Two year,FALSE,Bank transfer (automatic),21,1107.199951,FALSE
99,4598-XLKNJ,Female,TRUE,TRUE,FALSE,25,TRUE,FALSE,Fiber optic,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Month-to-month,TRUE,Electronic check,98.5,2514.5,TRUE
100,6380-ARCEH,Male,FALSE,FALSE,FALSE,1,TRUE,FALSE,No,,,,,,,Month-to-month,FALSE,Mailed check,20.20000076,20.20000076,FALSE
101,3679-XASPY,Female,FALSE,TRUE,TRUE,1,TRUE,FALSE,No,,,,,,,Month-to-month,FALSE,Electronic check,19.45000076,19.45000076,FALSE
102,7123-WQUHX,Male,FALSE,FALSE,FALSE,38,TRUE,TRUE,Fiber optic,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,One year,FALSE,Bank transfer (automatic),95,3605.600098,FALSE
103,5386-THSLQ,Female,TRUE,TRUE,FALSE,66,FALSE,,DSL,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,One year,FALSE,Bank transfer (automatic),45.54999924,3027.25,FALSE
104,3192-NQECA,Male,FALSE,TRUE,FALSE,68,TRUE,TRUE,Fiber optic,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Two year,TRUE,Bank transfer (automatic),110,7611.850098,TRUE
105,6180-YBIQI,Male,FALSE,FALSE,FALSE,5,FALSE,,DSL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Month-to-month,FALSE,Mailed check,24.29999924,100.1999969,FALSE
106,6728-DKUCO,Female,FALSE,TRUE,TRUE,72,TRUE,TRUE,Fiber optic,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,One year,TRUE,Electronic check,104.1500015,7303.049805,FALSE
107,9750-BOOHV,Female,FALSE,FALSE,FALSE,32,FALSE,,DSL,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,One year,FALSE,Mailed check,30.14999962,927.6500244,FALSE
108,8597-CWYHH,Male,FALSE,FALSE,FALSE,43,TRUE,TRUE,Fiber optic,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,One year,FALSE,Mailed check,94.34999847,3921.300049,FALSE
109,2848-YXSMW,Male,FALSE,TRUE,TRUE,72,TRUE,FALSE,No,,,,,,,Two year,FALSE,Credit card (automatic),19.39999962,1363.25,FALSE
110,0486-HECZI,Male,FALSE,TRUE,FALSE,55,TRUE,TRUE,Fiber optic,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Month-to-month,TRUE,Electronic check,96.75,5238.899902,TRUE
111,4549-ZDQYY,Female,FALSE,FALSE,FALSE,52,TRUE,FALSE,DSL,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,One year,FALSE,Credit card (automatic),57.95000076,3042.25,FALSE
112,5712-AHQNN,Female,FALSE,FALSE,FALSE,43,TRUE,FALSE,Fiber optic,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Month-to-month,TRUE,Electronic check,91.65000153,3954.100098,FALSE
113,4846-WHAFZ,Female,TRUE,TRUE,FALSE,37,TRUE,TRUE,Fiber optic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Month-to-month,TRUE,Electronic check,76.5,2868.149902,TRUE
114,5256-SKJGO,Female,FALSE,TRUE,TRUE,64,FALSE,,DSL,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Two year,TRUE,Electronic check,54.59999847,3423.5,FALSE
115,3071-VBYPO,Male,FALSE,TRUE,TRUE,3,TRUE,FALSE,Fiber optic,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Month-to-month,FALSE,Electronic check,89.84999847,248.3999939,FALSE
116,9560-BBZXK,Female,FALSE,FALSE,FALSE,36,FALSE,,DSL,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Two year,FALSE,Bank transfer (automatic),31.04999924,1126.349976,FALSE
117,5299-RULOA,Female,FALSE,TRUE,TRUE,10,TRUE,TRUE,Fiber optic,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Month-to-month,TRUE,Electronic check,100.25,1064.650024,TRUE
118,8402-OOOHJ,Female,FALSE,FALSE,FALSE,41,TRUE,FALSE,No,,,,,,,Two year,FALSE,Mailed check,20.64999962,835.1500244,FALSE
119,9445-ZUEQE,Male,FALSE,TRUE,TRUE,27,TRUE,TRUE,Fiber optic,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Month-to-month,TRUE,Credit card (automatic),85.19999695,2151.600098,FALSE
120,1091-SOZGA,Female,FALSE,TRUE,TRUE,56,TRUE,TRUE,Fiber optic,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,One year,TRUE,Credit card (automatic),99.80000305,5515.450195,FALSE
121,2928-HLDBA,Female,FALSE,FALSE,FALSE,6,TRUE,FALSE,No,,,,,,,Month-to-month,FALSE,Mailed check,20.70000076,112.75,FALSE
122,0404-SWRVG,Male,FALSE,FALSE,FALSE,3,TRUE,TRUE,Fiber optic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Month-to-month,TRUE,Electronic check,74.40000153,229.5500031,TRUE
123,6497-TILVL,Female,FALSE,TRUE,TRUE,7,TRUE,FALSE,DSL,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Month-to-month,FALSE,Mailed check,50.70000076,350.3500061,FALSE
124,7219-TLZHO,Female,FALSE,TRUE,TRUE,4,TRUE,FALSE,No,,,,,,,Month-to-month,FALSE,Mailed check,20.85000038,62.90000153,FALSE
125,4622-YNKIJ,Male,FALSE,FALSE,FALSE,33,TRUE,FALSE,Fiber optic,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Two year,TRUE,Electronic check,88.94999695,3027.649902,FALSE
126,4412-YLTKF,Female,TRUE,FALSE,FALSE,27,TRUE,TRUE,Fiber optic,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Month-to-month,TRUE,Electronic check,78.05000305,2135.5,TRUE
127,6734-PSBAW,Male,FALSE,TRUE,FALSE,72,TRUE,TRUE,No,,,,,,,Two year,TRUE,Bank transfer (automatic),23.54999924,1723.949951,FALSE
128,3930-ZGWVE,Male,FALSE,FALSE,FALSE,1,TRUE,FALSE,No,,,,,,,Month-to-month,FALSE,Mailed check,19.75,19.75,FALSE
